RXCUI,STR,TTY,n_drugs,ingredient_name,routes,dose_forms,dose_form_groups,FDC,class
1000000,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD,3,amlodipine,ORAL,Oral Tablet [Tribenzor],Oral Product,1,DHP_CCB
1000000,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD,3,hydrochlorothiazide,ORAL,Oral Tablet [Tribenzor],Oral Product,1,THIAZIDE_DIURETIC
1000000,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD,3,olmesartan,ORAL,Oral Tablet [Tribenzor],Oral Product,1,ARB
1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD,3,amlodipine,ORAL,Oral Tablet,Oral Product,1,DHP_CCB
1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD,3,hydrochlorothiazide,ORAL,Oral Tablet,Oral Product,1,THIAZIDE_DIURETIC
1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD,3,olmesartan,ORAL,Oral Tablet,Oral Product,1,ARB
1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD,3,amlodipine,ORAL,Oral Tablet [Tribenzor],Oral Product,1,DHP_CCB
1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD,3,hydrochlorothiazide,ORAL,Oral Tablet [Tribenzor],Oral Product,1,THIAZIDE_DIURETIC
1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD,3,olmesartan,ORAL,Oral Tablet [Tribenzor],Oral Product,1,ARB
1011710,aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,2,aliskiren,ORAL,Oral Tablet,Oral Product,1,DRI
1011710,aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,2,hydrochlorothiazide,ORAL,Oral Tablet,Oral Product,1,THIAZIDE_DIURETIC
1011712,aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],SBD,2,aliskiren,ORAL,Oral Tablet [Tekturna HCT],Oral Product,1,DRI
1011712,aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],SBD,2,hydrochlorothiazide,ORAL,Oral Tablet [Tekturna HCT],Oral Product,1,THIAZIDE_DIURETIC
1011713,aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD,2,aliskiren,ORAL,Oral Tablet,Oral Product,1,DRI
1011713,aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD,2,hydrochlorothiazide,ORAL,Oral Tablet,Oral Product,1,THIAZIDE_DIURETIC
1011715,aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],SBD,2,aliskiren,ORAL,Oral Tablet [Tekturna HCT],Oral Product,1,DRI
1011715,aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],SBD,2,hydrochlorothiazide,ORAL,Oral Tablet [Tekturna HCT],Oral Product,1,THIAZIDE_DIURETIC
1011718,aliskiren 150 MG / valsartan 160 MG Oral Tablet,SCD,2,aliskiren,ORAL,Oral Tablet,Oral Product,1,DRI
