RXCUI,STR,TTY,n_drugs,loop_diuretic,thiazide_diuretic,Ksparing_diuretic,ACE_inhibitor,ARB,aldo_antagonist,alpha_blocker,beta_blocker,calcium_channel_blocker,centrally_acting,renin_antagonist,vasodilator,other,any_diuretic,FDC
1000000,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
1011710,aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1011712,aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],SBD,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1011713,aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1011715,aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],SBD,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1011718,aliskiren 150 MG / valsartan 160 MG Oral Tablet,SCD,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1011729,aliskiren 300 MG / valsartan 320 MG Oral Tablet,SCD,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1011736,aliskiren 150 MG Oral Tablet,SCD,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1011738,aliskiren 150 MG Oral Tablet [Tekturna],SBD,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1011739,aliskiren 300 MG Oral Tablet,SCD,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1011741,aliskiren 300 MG Oral Tablet [Tekturna],SBD,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1011750,aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1011752,aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],SBD,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1011753,aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1011755,aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],SBD,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1013930,12 HR clonidine hydrochloride 0.1 MG Extended Release Oral Tablet,SCD,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1013933,clonidine Extended Release Oral Tablet [Kapvay],SBDF,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1013934,12 HR clonidine hydrochloride 0.1 MG Extended Release Oral Tablet [Kapvay],SBD,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104220,furosemide 4 MG/ML Oral Solution,SCD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104222,bumetanide 5 MG Oral Tablet,SCD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104230,spironolactone 1 MG/ML Oral Suspension,SCD,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104231,spironolactone 2 MG/ML Oral Suspension,SCD,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104232,spironolactone 5 MG/ML Oral Suspension,SCD,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104233,spironolactone 10 MG/ML Oral Suspension,SCD,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104245,benzthiazide 25 MG / triamterene 50 MG Oral Capsule,SCD,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
104248,chlorthalidone 50 MG / triamterene 50 MG Oral Tablet,SCD,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
104357,methyldopa 250 MG Oral Capsule,SCD,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104367,doxazosin 1 MG Oral Tablet [Cardura],SBD,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104368,doxazosin 2 MG Oral Tablet [Cardura],SBD,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104369,doxazosin 4 MG Oral Tablet [Cardura],SBD,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104370,captopril 25 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
104375,lisinopril 2.5 MG Oral Tablet [Zestril],SBD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104376,lisinopril 5 MG Oral Tablet [Zestril],SBD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104377,lisinopril 10 MG Oral Tablet [Zestril],SBD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104378,lisinopril 20 MG Oral Tablet [Zestril],SBD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104384,ramipril 2.5 MG Oral Capsule [Altace],SBD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104385,ramipril 5 MG Oral Capsule [Altace],SBD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1050333,clonidine Extended Release Oral Tablet [Nexiclon],SBDF,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1050338,24 HR clonidine 0.17 MG Extended Release Oral Tablet [Nexiclon],SBD,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1050796,aliskiren / amlodipine / hydrochlorothiazide Oral Tablet,SCDF,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
1050798,aliskiren 150 MG / amlodipine 5 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
